account_id,account_holder_name,bank_name,account_type,opened_at,home_district,device_fingerprint
ACC-001073,Sai Mannan,State Bank of India,Savings,2024-09-25 22:38:06,New Delhi,232ae1353a80
ACC-000175,Nicholas Chaudhry,Kotak Mahindra Bank,Savings,2026-02-01 12:30:37,Jaipur,1346a7478a1d
ACC-001023,Leena Behl,Axis Bank,Savings,2026-07-13 00:37:04,Mumbai,a8f727c792d3
ACC-000616,Falak Shroff,Bank of Baroda,Savings,2025-01-04 03:36:21,Lucknow,01a1cd0385c6
ACC-000514,Orinder Kala,HDFC Bank,Savings,2025-04-04 18:43:27,Pune,b41bfdcb358a
ACC-000462,Nisha Kapoor,HDFC Bank,Savings,2023-09-04 10:14:03,Mumbai,4ca714916b17
ACC-000287,Isaac Sethi,State Bank of India,Savings,2025-02-22 22:37:04,Pune,c64678f5d3be
ACC-000382,Bhavya Shere,State Bank of India,Savings,2025-01-18 16:53:43,Bengaluru Urban,4ee61bb68a5e
ACC-001008,Yashodhara Bhatnagar,Axis Bank,Savings,2025-01-17 05:58:37,Chennai,703dc392ba79
ACC-000671,Akshay Chopra,Axis Bank,Savings,2024-08-01 17:27:57,Jaipur,800437ec35e2
ACC-000535,Zansi Ramanathan,HDFC Bank,Savings,2024-01-26 20:54:55,Pune,e360fd1ffec0
ACC-000910,David Bhat,State Bank of India,Savings,2024-08-17 04:38:00,Lucknow,9857df454e8b
ACC-000293,Abdul Ratta,Punjab National Bank,Savings,2023-12-16 10:23:15,New Delhi,c164b6758e17
ACC-000124,Yatin Rajan,ICICI Bank,Savings,2025-12-01 07:56:01,Bengaluru Urban,9e02906faf3d
ACC-000583,Amaira Bose,ICICI Bank,Savings,2026-01-22 15:45:19,Noida,338da6ce24d3
ACC-000141,Urvashi Acharya,HDFC Bank,Savings,2024-04-09 02:53:00,Chennai,8ba8b1419ec4
ACC-000736,Laban Thaker,Bank of Baroda,Savings,2024-08-23 11:09:43,New Delhi,d034a0da8e68
ACC-000082,Pratyush Chaudhuri,Bank of Baroda,Savings,2025-11-03 07:20:24,Noida,74f8e0d69e53
ACC-000882,Avni Raj,HDFC Bank,Savings,2024-07-07 03:22:18,Noida,9648b8494646
ACC-000740,Neelima Mohanty,Kotak Mahindra Bank,Savings,2023-12-20 11:12:28,New Delhi,1bf5c50dc226
ACC-001102,Urvashi Seshadri,ICICI Bank,Savings,2023-10-29 16:49:51,Hyderabad,4e7ab73a6c5e
ACC-000909,Laban Bhavsar,HDFC Bank,Savings,2023-08-31 16:57:40,Ahmedabad,b64ac311e573
ACC-001167,Dhriti Suresh,ICICI Bank,Current,2025-08-11 05:44:30,Bengaluru Urban,4d8e7022818a
ACC-000937,Amrita Nori,ICICI Bank,Savings,2025-03-25 21:19:00,Mumbai,913a2f338c16
ACC-000372,Mason Ravi,Axis Bank,Savings,2024-05-26 00:40:35,Lucknow,460804a7da0a
ACC-000890,Alka Dasgupta,ICICI Bank,Current,2024-09-14 14:56:06,Bengaluru Urban,1652056f6b4c
ACC-000157,Jeremiah Manne,ICICI Bank,Savings,2023-11-10 07:12:39,Hyderabad,8de03c814e88
ACC-000992,Advay Sarma,Kotak Mahindra Bank,Savings,2026-05-31 20:13:37,Pune,98ba1850a2c5
ACC-000622,Yasti Wable,State Bank of India,Savings,2025-02-19 13:52:15,Jaipur,a414c15a6f51
ACC-001038,Balhaar Dhaliwal,ICICI Bank,Savings,2023-10-03 13:18:04,New Delhi,f0def848c09c
ACC-000245,Lohit Radhakrishnan,Punjab National Bank,Current,2025-02-13 16:24:46,Mumbai,6df132cdd2b8
ACC-000159,Dakshesh Sahota,ICICI Bank,Savings,2025-04-09 20:55:17,Chennai,1346a7478a1d
ACC-000746,Aryan Magar,Punjab National Bank,Savings,2024-01-24 07:52:28,Chennai,49fa21a1f0f3
ACC-000193,Megha Sen,Axis Bank,Savings,2024-02-04 21:06:24,Mumbai,030ffc91f322
ACC-000534,Leena Zacharia,HDFC Bank,Savings,2024-02-12 20:55:46,Chennai,85cf18e61041
ACC-000904,Hemang Karnik,HDFC Bank,Savings,2024-09-06 19:58:20,Noida,110c67be8ab9
ACC-001004,Omya Mallick,Bank of Baroda,Savings,2025-09-04 19:41:40,Bengaluru Urban,938c1ab797c0
ACC-001070,Jackson Dyal,State Bank of India,Savings,2025-11-20 11:08:53,Bengaluru Urban,34677469d46f
ACC-000414,Varenya Jhaveri,Kotak Mahindra Bank,Savings,2023-10-19 00:36:51,Noida,c090cef71a19
ACC-001187,Ekansh Gulati,State Bank of India,Savings,2025-06-16 22:13:40,Lucknow,d76ef916cd10
ACC-000328,Dayita Comar,ICICI Bank,Savings,2025-11-30 06:02:16,Bengaluru Urban,8b8557cc079e
ACC-000129,Sanya Samra,Bank of Baroda,Savings,2025-07-08 18:32:14,Pune,030ffc91f322
ACC-000695,Rishi Hora,Axis Bank,Savings,2025-03-20 19:04:47,Hyderabad,770d855b286f
ACC-000631,Upasna Doctor,Punjab National Bank,Savings,2023-09-30 00:59:48,Ahmedabad,1c12ee54dcfa
ACC-000275,Aarush Ray,State Bank of India,Savings,2026-03-13 16:33:56,Chennai,db66576213ff
ACC-001148,Yuvraj Sura,Axis Bank,Savings,2026-06-29 08:45:23,Jaipur,9d80771d6d20
ACC-000309,Sanya Sengupta,Punjab National Bank,Savings,2024-09-08 03:11:32,Lucknow,2a9e712c055a
ACC-000234,Ishwar Mall,ICICI Bank,Savings,2023-12-12 22:40:15,Hyderabad,6970155bc428
ACC-001048,Ekta Chawla,ICICI Bank,Savings,2025-08-07 10:46:05,Ahmedabad,76e0caadf892
ACC-000623,Ansh Raju,Kotak Mahindra Bank,Savings,2024-05-30 16:11:34,Mumbai,6ab1580a60a3
ACC-000644,Nitara Mohan,Bank of Baroda,Savings,2024-03-19 03:59:17,Lucknow,36d6c5e7da17
ACC-000479,Mohini Raju,ICICI Bank,Savings,2024-12-21 12:44:53,Bengaluru Urban,9bd6abd05f61
ACC-000472,Neha Sengupta,State Bank of India,Savings,2026-07-03 12:53:18,Ahmedabad,efa2924bb8ef
ACC-000926,Nicholas Halder,Axis Bank,Savings,2024-12-07 16:53:04,Bengaluru Urban,5718a9c7ca85
ACC-001098,Wyatt Palan,Kotak Mahindra Bank,Current,2025-02-05 11:52:14,Chennai,0b33ee5323d2
ACC-000627,Lakshit Acharya,ICICI Bank,Savings,2025-12-25 13:38:35,Hyderabad,92a49d745fcb
ACC-000395,Daksha Pingle,ICICI Bank,Current,2023-09-11 19:46:13,Noida,77855769afae
ACC-000637,Irya Chatterjee,ICICI Bank,Savings,2023-12-04 06:54:37,Noida,2510c3a44b75
ACC-000768,Jack Savant,State Bank of India,Current,2025-02-25 08:29:03,Lucknow,ff2b26d9a195
ACC-000533,Manya Morar,Axis Bank,Savings,2025-03-10 17:08:55,Jaipur,2502ce0a8127
ACC-000718,Megha Sha,State Bank of India,Current,2025-01-02 18:07:41,Bengaluru Urban,908242ed7be1
ACC-000667,Christopher Murty,HDFC Bank,Current,2026-05-06 16:50:17,Hyderabad,004bd79792ec
ACC-000598,Zansi Tank,Axis Bank,Savings,2026-06-23 19:54:54,Hyderabad,eae4ec786b1a
ACC-000482,Nidra Memon,State Bank of India,Savings,2023-09-08 08:01:43,Ahmedabad,07fb4f204cc5
ACC-001103,Ladli Kade,Punjab National Bank,Savings,2024-06-24 03:14:35,Ahmedabad,f60fb1853568
ACC-000315,Prisha Bala,Axis Bank,Savings,2024-06-26 15:02:40,Jaipur,f492811cff5a
ACC-000729,Nitara Kapur,Punjab National Bank,Savings,2024-04-28 10:40:58,Hyderabad,632befd72501
ACC-000210,Nachiket Grewal,ICICI Bank,Current,2025-12-18 23:12:30,New Delhi,c823337a99bb
ACC-000934,Jackson Mann,Bank of Baroda,Savings,2025-06-13 03:05:45,New Delhi,b81d4e567899
ACC-000434,Robert Sabharwal,HDFC Bank,Savings,2026-03-19 20:59:14,Jaipur,3fd1f8547307
ACC-000329,Pooja Bahri,ICICI Bank,Savings,2025-07-28 17:59:50,Chennai,a6674109beef
ACC-000261,Dipta Acharya,Bank of Baroda,Savings,2023-08-31 05:41:44,Noida,618ef0ae7025
ACC-001117,Chaman Mukhopadhyay,Kotak Mahindra Bank,Savings,2024-01-31 22:47:48,New Delhi,767fa021cf94
ACC-000307,Chameli Sridhar,Bank of Baroda,Savings,2025-07-09 12:31:15,Ahmedabad,0b2de5cbd7e0
ACC-001067,Yadavi Sachdeva,Kotak Mahindra Bank,Savings,2024-05-28 18:46:32,Hyderabad,7c15b1fad879
ACC-000928,Manya Dave,ICICI Bank,Savings,2024-07-19 21:33:39,Chennai,edc6246f1845
ACC-001025,Devika Palla,HDFC Bank,Current,2023-09-07 03:59:00,Lucknow,771e90b464a7
ACC-000271,Dipta Tara,Axis Bank,Current,2025-02-23 15:53:48,Hyderabad,20ca8935edf3
ACC-000291,Faris Sachdeva,ICICI Bank,Savings,2024-05-21 02:06:59,Mumbai,0f98d157eb2f
ACC-000813,Damini Dugar,Bank of Baroda,Savings,2024-04-27 20:53:43,Ahmedabad,69cf077c53ec
ACC-000097,Vidhi Trivedi,Axis Bank,Current,2025-02-17 22:18:58,Chennai,23ee6c59f806
ACC-000888,Aayush Sridhar,Axis Bank,Current,2025-11-26 15:35:43,Ahmedabad,d85ca73b551a
ACC-000819,Kavya Chana,Punjab National Bank,Savings,2025-04-13 23:50:08,Hyderabad,5bf17b5ac8d6
ACC-000032,Anirudh Baral,State Bank of India,Current,2023-10-04 09:08:49,Bengaluru Urban,5150fa519223
ACC-000763,Pranit Anand,Punjab National Bank,Savings,2025-02-05 13:11:27,Bengaluru Urban,79e78300a056
ACC-000954,Vyanjana Kale,Kotak Mahindra Bank,Savings,2025-05-09 23:06:52,Pune,6b372009ab10
ACC-000320,Hemani Kapadia,HDFC Bank,Savings,2025-07-30 06:45:25,Mumbai,99753576d911
ACC-000299,Ekani Badami,Bank of Baroda,Savings,2025-08-08 06:09:36,Mumbai,f4f0d3d10b5e
ACC-000200,Sathvik Kakar,Axis Bank,Savings,2024-06-15 03:37:22,Ahmedabad,030ffc91f322
ACC-000561,Ira Balasubramanian,ICICI Bank,Savings,2025-12-29 03:09:31,Ahmedabad,99dd0c7f58dc
ACC-000179,Chameli Hora,Bank of Baroda,Savings,2023-09-29 02:16:47,Bengaluru Urban,81044b8a60e3
ACC-001132,Urvi Patil,State Bank of India,Savings,2025-05-08 18:45:39,Noida,132cf9bd3fd7
ACC-000089,Laban Som,State Bank of India,Current,2025-07-16 10:51:29,Bengaluru Urban,fb6698a49157
ACC-000788,Leela Dhar,ICICI Bank,Savings,2024-08-16 23:16:31,Noida,449255154582
ACC-000725,Vivaan Mahajan,Axis Bank,Savings,2025-11-17 06:48:10,Lucknow,28efcde85ee8
ACC-000827,Veer Swamy,Axis Bank,Current,2023-12-06 18:53:53,Pune,ddf6fe008691
ACC-000209,Aadi Pandya,Axis Bank,Savings,2024-07-06 05:09:48,Hyderabad,a4137a41b727
ACC-001040,Rachita Naik,Axis Bank,Savings,2024-04-11 12:49:39,New Delhi,9dd2936c6972
ACC-000297,Isaac Rattan,Axis Bank,Savings,2023-09-25 03:00:49,Chennai,9b877ef9ed85
ACC-000998,Dev Venkatesh,Punjab National Bank,Current,2026-01-04 21:50:15,Lucknow,416dd55d7b1c
ACC-000498,Aahana Maharaj,ICICI Bank,Savings,2026-07-24 07:10:16,Hyderabad,5870dbe5bec9
ACC-000835,Sachi Agate,Axis Bank,Current,2024-12-23 14:24:27,Hyderabad,52ce0df31177
ACC-000430,Samar Bhalla,State Bank of India,Savings,2025-02-04 12:25:06,Ahmedabad,2748389d3b4b
ACC-000507,Balvan Sachdev,State Bank of India,Savings,2024-03-25 04:12:57,Lucknow,11cb280350a1
ACC-000831,Anamika Chowdhury,Kotak Mahindra Bank,Savings,2024-06-12 02:39:55,New Delhi,64e4c4b9c8d8
ACC-000694,Lopa Dugar,Axis Bank,Savings,2024-11-02 20:29:19,Pune,53a3fed85b49
ACC-000011,Gaurika Mutti,Punjab National Bank,Savings,2026-07-25 08:55:32,Ahmedabad,030ffc91f322
ACC-000848,Falguni Swamy,Bank of Baroda,Savings,2025-06-29 14:25:13,Chennai,536e551f02d8
ACC-000463,Chakradev Sibal,Punjab National Bank,Current,2026-06-29 20:23:49,Jaipur,0bf274bd6716
ACC-000199,Rachana Goda,Bank of Baroda,Savings,2025-02-27 17:38:05,New Delhi,9e02906faf3d
ACC-000060,Jeevika Chawla,Punjab National Bank,Savings,2023-10-04 01:28:12,Noida,19c4aabe4f31
ACC-000907,Niharika Sahota,Kotak Mahindra Bank,Savings,2024-02-12 16:24:51,Mumbai,afbac1a0339d
ACC-000997,Henry Sami,ICICI Bank,Savings,2024-08-20 20:35:26,Ahmedabad,843137faaecf
ACC-000276,Wyatt Dube,ICICI Bank,Savings,2024-04-20 14:14:14,Chennai,3d91c29d7ad2
ACC-000809,Gavin Ravel,ICICI Bank,Savings,2026-03-18 10:20:34,Pune,0bbf34365e94
ACC-000908,Anirudh Bawa,State Bank of India,Savings,2025-02-27 03:30:37,Mumbai,16e5d92d300e
ACC-000658,Mitali Narayan,Bank of Baroda,Savings,2026-01-02 08:36:39,Noida,54a15a04c476
ACC-000957,Lakshit Gade,HDFC Bank,Savings,2023-09-17 19:56:12,Pune,bae739bbc9f4
ACC-000886,Ekbal Rastogi,ICICI Bank,Savings,2024-03-26 12:16:35,Hyderabad,b8c65453bd60
ACC-000221,Bina Ganguly,Bank of Baroda,Savings,2024-08-19 15:24:15,Chennai,67117e1f6412
ACC-000789,Janani Memon,Kotak Mahindra Bank,Savings,2026-07-27 07:44:02,Mumbai,e39d408da1af
ACC-000712,Lekha Pandey,Bank of Baroda,Savings,2026-01-23 04:07:26,Noida,b51cf5d71628
ACC-000714,Falan Kapur,Axis Bank,Savings,2026-07-14 06:15:06,Ahmedabad,8f01d15b10dc
ACC-001113,Teerth Narasimhan,Kotak Mahindra Bank,Savings,2025-10-17 13:03:42,Bengaluru Urban,17e9d36a7c27
ACC-001191,Mohammed Mishra,Punjab National Bank,Savings,2025-09-16 01:42:14,Chennai,25533eb3846f
ACC-000790,Lopa Ghosh,Kotak Mahindra Bank,Savings,2026-06-07 22:10:08,Lucknow,82d3f866db02
ACC-000416,Yachana Thaman,Kotak Mahindra Bank,Savings,2025-01-18 21:26:37,Ahmedabad,12b45d4655bd
ACC-000899,Ojas Kari,Axis Bank,Savings,2025-09-21 02:11:06,Noida,acfa3a43a252
ACC-000935,Priya Kaul,ICICI Bank,Savings,2025-07-17 02:48:24,Lucknow,34fef197140a
ACC-000266,Udarsh Dutt,Kotak Mahindra Bank,Savings,2025-03-13 17:19:23,New Delhi,b6d1dffc225a
ACC-000632,Abeer Goswami,State Bank of India,Savings,2025-10-02 20:08:09,New Delhi,b6eca8f63ce3
ACC-000248,Yashodhara Nazareth,Axis Bank,Savings,2024-08-24 01:47:34,Pune,76e4a1019d0f
ACC-000683,Naksh Khatri,HDFC Bank,Savings,2025-06-21 15:35:22,Chennai,2bb7ebb8ef31
ACC-000559,Sudiksha Balan,Kotak Mahindra Bank,Savings,2026-05-31 13:31:44,Mumbai,a02af229540e
ACC-001137,Eta Natt,HDFC Bank,Savings,2023-10-16 00:25:47,Mumbai,174435442c4a
ACC-000968,Zinal Dasgupta,ICICI Bank,Savings,2025-10-08 17:29:29,Chennai,0dc6dd2b7fb8
ACC-001005,Vedant Mital,ICICI Bank,Savings,2025-09-30 03:26:02,Pune,6b64ff388abe
ACC-000985,Gaurav Dixit,HDFC Bank,Savings,2024-07-07 19:33:09,Lucknow,7c23b3cd5f36
ACC-000295,Kala Prabhakar,Kotak Mahindra Bank,Savings,2024-10-24 14:56:28,Hyderabad,94d3ea2535d4
ACC-000520,Wriddhish Mane,State Bank of India,Current,2025-09-07 01:19:58,Bengaluru Urban,ce8939c6ff87
ACC-000771,Abha Jhaveri,HDFC Bank,Current,2024-09-21 04:28:41,Lucknow,f130207ee494
ACC-000084,Girish Narula,ICICI Bank,Savings,2024-10-17 23:25:54,Noida,030ffc91f322
ACC-000232,Kala Bedi,ICICI Bank,Savings,2024-11-29 14:31:26,Bengaluru Urban,82d36b598c1e
ACC-000621,Wishi Bath,Axis Bank,Savings,2024-04-14 16:34:50,New Delhi,3127c8cb4475
ACC-000334,Chanakya Rama,ICICI Bank,Savings,2025-12-10 21:59:43,Ahmedabad,c4abc999e0c3
ACC-000130,Samesh Memon,Bank of Baroda,Current,2026-01-01 12:26:25,Chennai,5150fa519223
ACC-001012,Kavya Barman,Axis Bank,Savings,2025-10-17 08:33:03,Jaipur,3562985c5155
ACC-000645,Tristan Gokhale,ICICI Bank,Savings,2025-11-13 12:25:54,Mumbai,85734d261fab
ACC-000974,Christopher Ganguly,ICICI Bank,Savings,2025-02-08 04:09:14,Ahmedabad,a0db892fe43f
ACC-000383,Krish Tandon,ICICI Bank,Savings,2025-01-10 12:07:54,Mumbai,a392c83f95ac
ACC-000868,Dakshesh Sane,HDFC Bank,Current,2025-07-21 00:40:57,Pune,cff2a4e9dbc7
ACC-000543,Ekani Ramanathan,Kotak Mahindra Bank,Current,2025-04-06 21:10:51,Ahmedabad,7845708b8b0d
ACC-001194,Upkaar Nigam,State Bank of India,Savings,2024-07-22 23:15:10,Chennai,e3f9fa96dadb
ACC-000875,Gunbir Patil,HDFC Bank,Current,2023-11-26 09:54:34,Hyderabad,9b50c184308a
ACC-000332,Onkar Yohannan,Kotak Mahindra Bank,Savings,2024-08-22 23:57:14,Jaipur,f9fe02d82725
ACC-000410,Laksh Soman,ICICI Bank,Savings,2024-11-30 23:29:02,New Delhi,c870553a8d55
ACC-000077,Falguni Salvi,Bank of Baroda,Savings,2024-10-16 11:02:36,Hyderabad,8ba8b1419ec4
ACC-000869,Ekanta Sani,HDFC Bank,Savings,2025-01-09 18:20:22,Chennai,50605eec4c9f
